Title;Year;Decade;Country;Genre;runtimeMinutes;IMDB;Score;averageRating;numVotes;directors;primaryName
Thelma & Louise;1991;1990s;USA;Drama;130;tt0103074;8;7.5;132445;nm0000631;Ridley Scott
Barton Fink;1991;1990s;USA;Drama;116;tt0101410;8;7.7;110581;nm0001053.nm0001054;Cohen Brothers
Delicatessen;1991;1990s;USA;Comedy;99;tt0101700;7.75;7.6;78973;nm0001988;Marc Caro
Europa;1991;1990s;USA;War;112;tt0101829;7.5;7.6;19358;nm0001885;Lars von Trier
Terminator 2: Judgment Day;1991;1990s;USA;SciFi;137;tt0103064;8.5;8.5;972565;nm0000116;James Cameron
The Silence of the Lambs;1991;1990s;USA;Thriller;118;tt0102926;9.25;8.6;1230101;nm0001129;Jonathan Demme
Jacob's Ladder;1990;1990s;USA;Horror;113;tt0099871;7;7.5;96494;nm0001490;Adrian Lyne
Awakenings;1990;1990s;USA;Drama;121;tt0099077;7.75;7.8;130193;nm0001508;Penny Marshall
Total Recall;1990;1990s;USA;SciFi;113;tt0100802;7.5;7.5;304162;nm0000682;Paul Verhoeven
The Godfather: Part III;1990;1990s;USA;Drama;202;tt0071562;8;9;1095132;nm0000338;Francis Ford Coppola
'Non', ou A Vã Glória de Mandar;1990;1990s;Portugal;War;110;tt0100269;7;7.2;894;nm0210701;Manoel de Oliveira
Wild at Heart;1990;1990s;USA;Drama;125;tt0100935;8;7.2;80775;nm0000186;David Lynch
Miller's Crossing;1990;1990s;USA;Crime;115;tt0100150;9;7.7;123538;nm0001054.nm0001053;Cohen Brothers
Goodfellas;1990;1990s;USA;Crime;146;tt0099685;9;8.7;988160;nm0000217;Martin Scorsese
Cyrano de Bergerac;1990;1990s;France;Historical;137;tt0099334;9;7.5;22033;nm0710919;Jean-Paul Rappeneau
Dances with Wolves;1990;1990s;USA;Western;181;tt0099348;7.5;8;234561;nm0000126;Kevin Costner
The Exorcist III;1990;1990s;USA;Horror;110;tt0099528;8.25;6.4;24627;nm0087861;William Peter Blatty
Misery;1990;1990s;USA;Horror;107;tt0100157;8.5;7.8;178658;nm0001661;Rob Reiner
Rosencrantz & Guildenstern Are Dead;1990;1990s;UK;Comedy;117;tt0100519;8.75;7.5;20488;nm0001779;Tom Stoppard
The Abyss;1989;1980s;USA;SciFi;171;tt0096754;7.25;7.6;159395;nm0000116;James Cameron
Recordações da Casa Amarela;1989;1980s;Portugal;Drama;122;tt0098175;7.75;7.5;1205;nm0599214;João César Monteiro
Dead Poets Society;1989;1980s;UK;Drama;128;tt0097165;8;8.1;409599;nm0001837;Peter Weir
Crimes and Misdemeanors;1989;1980s;USA;Thriller;104;tt0097123;8;7.9;53421;nm0000095;Woody Allen
Winter War;1989;1980s;Finland;War;199;tt0098437;7.5;7.7;7581;nm0661502;Pekka Parikka
Born on the Fourth of July;1989;1980s;USA;War;145;tt0096969;7.5;7.2;98958;nm0000231;Oliver Stone
Henry V;1989;1980s;UK;Historical;137;tt0097499;7.5;7.5;27711;nm0000110;Kenneth Branagh
The Killer;1989;1980s;Hong Kong;Thriller;111;tt0097202;7.5;7.8;44899;nm0000247;John Woo
Violent Cop;1989;1980s;Japan;Crime;103;tt0098360;7.5;7.2;10239;nm0001429;Takeshi Kitano
Do the Right Thing;1989;1980s;USA;Drama;120;tt0097216;8.25;7.9;85640;nm0000490;Spike Lee
The Cook, the Thief, His Wife & Her Lover;1989;1980s;UK;Horror;124;tt0097108;8.5;7.6;33964;nm0000425;Peter Greenaway
Kiki's Delivery Service;1989;1980s;Japan;Fantasy;103;tt0097814;7.75;7.8;126092;nm0594503;Hayao Miyazaki
High Hopes;1988;1980s;UK;Drama;108;tt0095302;7;7.4;4299;nm0005139;Mike Leigh
Dangerous Liaisons;1988;1980s;USA;Drama;119;tt0094947;7.25;7.6;64706;nm0001241;Stephen Frears
The Accused;1988;1980s;USA;Drama;111;tt0094608;7;7.1;30927;nm0438279;Jonathan Kaplan
Mississippi Burning;1988;1980s;USA;Thriller;128;tt0095647;8;7.8;85414;nm0000570;Alan Parker
Time of the Gypsies;1988;1980s;Yoguslavia;Drama;142;tt0097223;8;8.3;24475;nm0001437;Emir Kusturica
Akira;1988;1980s;Japan;SciFi;124;tt0094625;8;8;158765;nm0960028;Katsuhiro Ôtomo
The Last Temptation of Christ;1988;1980s;USA;Historical;164;tt0095497;7.5;7.5;50891;nm0000217;Martin Scorsese
Spoorloos;1988;1980s;Netherlands;Thriller;107;tt0096163;7.5;7.7;32902;nm0806293;George Sluizer
Dead Ringers;1988;1980s;USA;Horror;116;tt0094964;7.5;7.3;39799;nm0000343;David Cronenberg
They Live;1988;1980s;USA;SciFi;94;tt0096256;8.25;7.3;106150;nm0000118;John Carpenter
Die Hard;1988;1980s;USA;Thriller;132;tt0095016;7.75;8.2;792968;nm0001532;John McTiernan
A Fish called Wanda;1988;1980s;USA;Comedy;108;tt0095159;7.75;7.5;131684;nm0187769;Charles Crichton
Cinema Paradiso;1988;1980s;Italy;Drama;155;tt0095765;8.25;8.5;222054;nm0868153;Giuseppe Tornatore
Who Framed Roger Rabbit;1988;1980s;USA;Comedy;104;tt0096438;7.5;7.7;186175;nm0000709;Robert Zemeckis
Talk Radio;1988;1980s;USA;Drama;110;tt0096219;8.5;7.3;12260;nm0000231;Oliver Stone
Mujeres al borde de un Ataque de Nervios;1988;1980s;Spain;Drama;88;tt0095675;8.75;7.6;34663;nm0000264;Pedro Almodóvar
The Untouchables;1987;1980s;USA;Crime;119;tt0094226;7.25;7.9;281729;nm0000361;Brian De Palma
Wall Street;1987;1980s;USA;Crime;126;tt0094291;7.5;7.4;145860;nm0000231;Oliver Stone
Wings of Desire;1987;1980s;Germany;Drama;128;tt0093191;8;8;62705;nm0000694;Wim Wenders
Robocop;1987;1980s;USA;SciFi;102;tt0093870;8;7.5;227661;nm0000682;Paul Verhoeven
The Hidden;1987;1980s;USA;SciFi;97;tt0093185;7.25;7;16975;nm0794791;Jack Sholder
Highlander;1986;1980s;USA;Fantasy;116;tt0091203;7.5;7.1;122116;nm0611683;Russell Mulcahy
Evil Dead II;1987;1980s;USA;Horror;84;tt0092991;7.5;7.8;144325;nm0000600;Sam Raimi
Radio Days;1987;1980s;USA;Comedy;88;tt0093818;7.25;7.5;30826;nm0000095;Woody Allen
Raising Arizona;1987;1980s;USA;Comedy;94;tt0093822;7.5;7.3;124052;nm0001053.nm0001054;Cohen Brothers
Predator;1987;1980s;USA;Horror;107;tt0093773;8.25;7.8;363922;nm0001532;John McTiernan
House of Games;1987;1980s;USA;Thriller;102;tt0093223;8.25;7.3;20206;nm0000519;David Mamet
Empire of the Sun;1987;1980s;USA;War;153;tt0092965;8.25;7.7;112838;nm0000229;Steven Spielberg
Full Metal Jacket;1987;1980s;USA;War;116;tt0093058;8.75;8.3;656225;nm0000040;Stanley Kubrick
The Hitcher;1986;1980s;USA;Horror;97;tt0091209;7;7.2;42523;nm0363553;Robert Harmon
Der Name der Rose;1986;1980s;Germany;Historical;130;tt0091605;8;7.7;99161;nm0000269;Jean-Jacques Annaud
The Fly;1986;1980s;USA;Horror;96;tt0091064;8;7.6;155107;nm0000343;David Cronenberg
Salvador;1986;1980s;USA;Drama;122;tt0091886;8;7.4;18792;nm0000231;Oliver Stone
The Color of Money;1986;1980s;USA;Drama;119;tt0090863;7.5;7;75099;nm0000217;Martin Scorsese
Aliens;1986;1980s;USA;Horror;137;tt0090605;9;8.3;637927;nm0000116;James Cameron
Blue Velvet;1986;1980s;USA;Thriller;120;tt0090756;9;7.8;175848;nm0000186;David Lynch
Manhunter;1986;1980s;USA;Thriller;120;tt0091474;7.5;7.2;63899;nm0000520;Michael Mann
Henry: Portrait of a Serial Killer;1986;1980s;USA;Horror;83;tt0099763;8.25;7;31056;nm0573796;John McNaughton
Platoon;1986;1980s;USA;War;120;tt0091763;8.5;8.1;372532;nm0000231;Oliver Stone
Hannah and Her Sisters;1986;1980s;USA;Drama;107;tt0091167;8.5;7.9;65576;nm0000095;Woody Allen
The Mission;1986;1980s;USA;Historical;125;tt0091530;8.75;7.4;54649;nm0423646;Roland Joffé
Agnes of God;1985;1980s;USA;Drama;98;tt0088683;7;6.6;6615;nm0422484;Norman Jewison
Back to the Future;1985;1980s;USA;Comedy;116;tt0088763;8;8.5;1057703;nm0000709;Robert Zemeckis
Brazil;1985;1980s;UK;Dystopia;132;tt0088846;9;7.9;184004;nm0000416;Terry Gilliam
Come and See;1985;1980s;Russia;War;142;tt0091251;9;8.3;59361;nm0459552;Elem Klimov
Ran;1985;1980s;Japan;Samurai;162;tt0089881;9;8.2;108357;nm0000041;Akira Kurosawa
Ladyhawke;1985;1980s;USA;Fantasy;121;tt0089457;7.5;7;42430;nm0001149;Richard Donner
The Color Purple;1985;1980s;USA;Drama;154;tt0088939;8.5;7.8;76222;nm0000229;Steven Spielberg
The Goonies;1985;1980s;USA;Comedy;114;tt0089218;7.75;7.8;250807;nm0001149;Richard Donner
The Killing Fields;1984;1980s;USA;War;141;tt0087553;8;7.8;50333;nm0423646;Roland Joffé
The Neverending Story;1984;1980s;Germany;Fantasy;102;tt0088323;7;7.4;135125;nm0000583;Wolfgang Petersen
Ghostbusters;1984;1980s;USA;Comedy;105;tt0087332;7.25;7.8;356175;nm0718645;Ivan Reitman
Paris, Texas;1984;1980s;USA;Drama;145;tt0087884;7.5;8.1;85863;nm0000694;Wim Wenders
A Nightmare on Elm Street;1984;1980s;USA;Horror;91;tt0087800;8;7.5;207078;nm0000127;Wes Craven
Nineteen Eighty-Four;1984;1980s;UK;Dystopia;113;tt0087803;7.5;7.1;64586;nm0705535;Michael Radford
Once Upon a Time in America;1984;1980s;USA;Drama;229;tt0087843;8.5;8.4;301226;nm0001466;Sergio Leone
The Terminator;1984;1980s;USA;SciFi;107;tt0088247;8.5;8;782320;nm0000116;James Cameron
Amadeus;1984;1980s;USA;Historical;160;tt0086879;9.25;8.3;360082;nm0001232;Milos Forman
The Day After;1983;1980s;UK;Dystopia;127;tt0085404;8;7.1;14058;nm0583292;Nicholas Meyer
Videodrome;1983;1980s;USA;SciFi;87;tt0086541;8;7.2;81075;nm0000343;David Cronenberg
Return of the Jedi;1983;1980s;USA;Fantasy;131;tt0086190;8;8.3;941413;nm0549658;Richard Marquand
The Meaning of Life;1983;1980s;UK;Comedy;107;tt0085959;8;7.5;111559;nm0001402.nm0000416;Terry Gilliam
Testament;1983;1980s;USA;Dystopia;90;tt0086429;7.5;6.9;5598;nm0003313;Lynne Littman
Scarface;1983;1980s;USA;Crime;170;tt0086250;8.5;8.3;719066;nm0000361;Brian De Palma
The Ballad of Narayama;1983;1980s;Japan;Drama;130;tt0084390;8.5;7.9;7020;nm0408076;Shôhei Imamura
Danton;1983;1980s;France;Historical;136;tt0083789;8.75;7.5;6236;nm0906667;Andrzej Wajda
Poltergeist;1982;1980s;USA;Horror;114;tt0084516;7;7.3;138662;nm0001361;Tobe Hooper
First Blood;1982;1980s;USA;War;93;tt0083944;7.5;7.7;231742;nm0467646;Ted Kotcheff
Made in Britain;1982;1980s;UK;Drama;76;tt0084287;7;7.3;6028;nm0164639;Alan Clarke
Missing;1982;1980s;USA;Drama;122;tt0084335;8;7.7;18051;nm0002020;Costa-Gavras
Fitzcarraldo;1982;1980s;Germany;Historical;158;tt0083946;8;8.1;30413;nm0001348;Werner Herzog
ET;1982;1980s;USA;SciFi;115;tt0083866;8;7.8;361813;nm0000229;Steven Spielberg
Sophie's Choice;1982;1980s;USA;War;150;tt0084707;8;7.6;40653;nm0001587;Alan J. Pakula
Conan the Barbarian;1982;1980s;USA;Fantasy;129;tt0082198;9;6.9;134811;nm0587518;John Milius
White Dog;1982;1980s;USA;Drama;90;tt0084899;8.25;7.1;8422;nm0002087;Samuel Fuller
The Verdict;1982;1980s;USA;Drama;129;tt0084855;8.5;7.7;34907;nm0001486;Sidney Lumet
The Thing;1982;1980s;USA;Horror;109;tt0084787;9.25;8.1;358946;nm0000118;John Carpenter
Blade Runner;1982;1980s;USA;SciFi;164;tt1856101;9.5;8.1;679355;nm0000631;Ridley Scott
Excalibur;1981;1980s;UK;Fantasy;140;tt0082348;9;7.4;56176;nm0000958;John Boorman
The Evil Dead;1981;1980s;USA;Horror;85;tt0083907;7.5;7.5;181855;nm0000600;Sam Raimi
Time Bandits;1981;1980s;UK;Comedy;116;tt0081633;7;7;58660;nm0000416;Terry Gilliam
Escape from New York;1981;1980s;USA;Dystopia;99;tt0082340;7.5;7.2;122143;nm0000118;John Carpenter
La guerre du feu;1981;1980s;France;Historical;100;tt0082484;8.5;7.3;20272;nm0000269;Jean-Jacques Annaud
Mad Max 2, The Road Warrior;1981;1980s;Australia;Dystopia;96;tt0082694;7.75;7.6;166540;nm0004306;George Miller
Raiders of the Lost Ark;1981;1980s;USA;Action;115;tt0082971;9.25;8.4;863305;nm0000229;Steven Spielberg
Das Boot;1981;1980s;Germany;War;149;tt0082096;9.5;7.4;235463;nm0000583;Wolfgang Petersen
The Changeling;1980;1980s;USA;Horror;107;tt0080516;7;7.2;29030;nm0575389;Peter Medak
Cruising;1980;1980s;USA;Drama;102;tt0080569;7;6.5;18295;nm0001243;William Friedkin
Airplane!;1980;1980s;USA;Comedy;88;tt0080339;7.5;7.7;215442;nm0000720;Jim Abrahams
The Fog;1980;1980s;USA;Horror;89;tt0080749;8;6.8;61973;nm0000118;John Carpenter
The Empire Strikes Back;1980;1980s;USA;Fantasy;124;tt0080684;9;8.7;1129305;nm0449984;Irvin Kershner
Kagemusha;1980;1980s;USA;Samurai;180;tt0080979;9;8;31156;nm0000041;Akira Kurosawa
Raging Bull;1980;1980s;USA;Drama;129;tt0081398;9.5;8.2;312794;nm0000217;Martin Scorsese
The Shining;1980;1980s;USA;Horror;146;tt0081505;9.5;8.4;866135;nm0000040;Stanley Kubrick
Manhattan;1979;1970s;USA;Drama;96;tt0079522;8;7.9;128883;nm0000095;Woody Allen
Nosferatu;1979;1970s;Germany;Horror;107;tt0079641;8;7.9;32731;nm0001348;Werner Herzog
Alien;1979;1970s;USA;Horror;117;tt0078748;10;8.4;766534;nm0000631;Ridley Scott
The Brood;1979;1970s;Canada;Horror;92;tt0078908;7.5;6.9;24570;nm0000343;David Cronenberg
Stalker;1979;1970s;Russia;SciFi;162;tt0079944;8.25;8.2;111366;nm0001789;Andrei Tarkovsky
Being There;1979;1970s;UK;Drama;130;tt0078841;8.5;8;64046;nm0000797;Hal Ashby
Life of Brian;1979;1970s;UK;Comedy;94;tt0079470;8.75;8.1;358313;nm0001402;Terry Jones
Apocalypse Now;1979;1970s;USA;War;147;tt0078788;9.5;8.4;589184;nm0000338;Francis Ford Coppola
The Lord of the Rings;1978;1970s;USA;Fantasy;132;tt0077869;7.25;6.2;28995;nm0000835;Ralph Bakshi
Halloween;1978;1970s;USA;Horror;91;tt0077651;8;7.8;221797;nm0000118;John Carpenter
Dawn of the Dead;1978;1970s;USA;Horror;101;tt0363547;7.75;7.9;112347;nm0001681;George A. Romero
The Boys from Brazil;1978;1970s;USA;Thriller;125;tt0077269;7.5;7;24984;nm0769874;Franklin J. Schaffner
Invasion of the Body Snatchers;1978;1970s;USA;SciFi;115;tt0077745;7.75;7.4;50775;nm0442241;Philip Kaufman
Midnight Express;1978;1970s;USA;Drama;121;tt0077928;8.75;7.6;71815;nm0000570;Alan Parker
The Deer Hunter;1978;1970s;USA;War;183;tt0077416;9.5;8.1;303546;nm0001047;Michael Cimino
Star Wars;1977;1970s;USA;Fantasy;121;tt0076759;8.25;8.6;1201450;nm0000184;George Lucas
Equus;1977;1970s;USA;Drama;137;tt0075995;8;7.2;7295;nm0001486;Sidney Lumet
The Serpent's Egg;1977;1970s;Germany;Historical;119;tt0076686;7.5;6.7;5068;nm0000005;Ingmar Bergman
Cross of Iron;1977;1970s;USA;War;132;tt0074695;8.25;7.5;24656;nm0001603;Sam Peckinpah
Annie Hall;1977;1970s;USA;Drama;93;tt0075686;8.5;8;247768;nm0000095;Woody Allen
Close Encounters of the Third Kind;1977;1970s;USA;SciFi;138;tt0075860;8.5;7.6;179794;nm0000229;Steven Spielberg
Sorcerer;1977;1970s;USA;Thriller;121;tt0076740;9;7.7;17083;nm0001243;William Friedkin
Marathon Man;1976;1970s;USA;Thriller;125;tt0074860;8;7.4;56662;nm0772259;John Schlesinger
Logan's Run;1976;1970s;USA;SciFi;119;tt0074812;7.5;6.8;50650;nm0027183;Michael Anderson
The Eagle Has Landed;1976;1970s;USA;War;135;tt0074452;7.5;6.9;18706;nm0836328;John Sturges
Le Locataire;1976;1970s;France;Thriller;126;tt0074811;8.25;7.7;38264;nm0000591;Roman Polanski
Brutti, Sporchi e Cattivi;1976;1970s;Italy;Comedy;115;tt0074252;8.5;7.8;7506;nm0778633;Ettore Scola
Rocky;1976;1970s;USA;Drama;120;tt0075148;8.5;8.1;504982;nm0000814;John G. Avildsen
All the President's Men;1976;1970s;USA;Thriller;138;tt0074119;8.5;8;99544;nm0001587;Alan J. Pakula
Network;1976;1970s;USA;Drama;121;tt0074958;8.75;8.1;141468;nm0001486;Sidney Lumet
Taxi Driver;1976;1970s;USA;Drama;114;tt0075314;9.25;8.3;700745;nm0000217;Martin Scorsese
Dog Day Afternoon;1975;1970s;USA;Drama;125;tt0072890;8;8;230203;nm0001486;Sidney Lumet
The Stepford Wives;1975;1970s;USA;SciFi;115;tt0073747;7.5;6.9;16384;nm0285302;Bryan Forbes
Dersu Uzala;1975;1970s;Japan;Drama;142;tt0071411;8;8.3;22902;nm0000041;Akira Kurosawa
Rollerball;1975;1970s;USA;Dystopia;125;tt0073631;7.25;6.6;21876;nm0422484;Norman Jewison
Jaws;1975;1970s;USA;Horror;124;tt0073195;9;8;534693;nm0000229;Steven Spielberg
Monty Python and the Holy Grail;1975;1970s;UK;Comedy;91;tt0071853;8.5;8.2;490505;nm0000416;Terry Gilliam
Section Spéciale;1975;1970s;France;Historical;118;tt0073679;8.5;7.8;1027;nm0002020;Costa-Gavras
Barry Lyndon;1975;1970s;USA;Historical;185;tt0072684;8.75;8.1;144729;nm0000040;Stanley Kubrick
One Flew Over the Cuckoo's Nest;1975;1970s;USA;Drama;133;tt0073486;9.5;8.7;888729;nm0001232;Milos Forman
The Texas Chain Saw Massacre;1974;1970s;USA;Horror;83;tt0072271;8;7.5;131888;nm0001361;Tobe Hooper
Death Wish;1974;1970s;USA;Crime;93;tt0071402;7;7;35820;nm0935382;ichael Winner
Bring Me the Head of Alfredo Garcia;1974;1970s;USA;Western;112;tt0071249;8;7.5;17723;nm0001603;Sam Peckinpah
A Woman Under the Influence;1974;1970s;USA;Drama;155;tt0072417;8.5;8.2;20480;nm0001023;John Cassavetes
Chinatown;1974;1970s;USA;Crime;130;tt0071315;9.25;8.2;285815;nm0000591;Roman Polanski
The Conversation;1974;1970s;USA;Thriller;113;tt0071360;9.25;7.8;95246;nm0000338;Francis Ford Coppola
The Godfather: Part II;1974;1970s;USA;Drama;202;tt0071562;9.75;9;1095132;nm0000338;Francis Ford Coppola
Don't Look Now;1973;1970s;USA;Horror;110;tt0069995;7;7.2;47639;nm0001676;Nicolas Roeg
The Wicker Man;1973;1970s;USA;Thriller;88;tt0070917;7.5;7.5;70303;nm0362736;Robin Hardy
WestWorld;1973;1970s;USA;SciFi;88;tt0070909;7.25;7;52527;nm0000341;Michael Crichton
Soylent Green;1973;1970s;USA;Dystopia;97;tt0070723;8;7.1;55872;nm0281507;Richard Fleischer
Papillon;1973;1970s;USA;Thriller;133;tt5093026;9;7.2;48759;nm1840064;Michael Noer
Pat Garrett and Billy the Kid;1973;1970s;USA;Western;122;tt0070518;7.5;7.3;17679;nm0001603;Sam Peckinpah
The Offence;1973;1970s;USA;Drama;112;tt0070468;8.5;7;5488;nm0001486;Sidney Lumet
Serpico;1973;1970s;USA;Crime;130;tt0070666;8.5;7.7;106208;nm0001486;Sidney Lumet
The Exorcist;1973;1970s;USA;Horror;122;tt0070047;9.5;8;353406;nm0001243;William Friedkin
Solyaris;1972;1970s;Russia;SciFi;167;tt0069293;8;8.1;77861;nm0001789;Andrei Tarkovsky
Silent Running;1972;1970s;USA;SciFi;89;tt0067756;7;6.7;27188;nm0874320;Douglas Trumbull
Mad Max;1979;1970s;Australia;Dystopia;88;tt0079501;7;6.9;191715;nm0004306;George Miller
The Towering Inferno;1974;1970s;USA;Thriller;165;tt0072308;7.5;7;39452;nm0347086;John Guillermin
Assault on Precinct 13;1976;1970s;USA;Thriller;91;tt0074156;7.5;7.4;43907;nm0000118;John Carpenter
La Planète Sauvage;1973;1970s;France;Fantasy;72;tt0070544;7.5;7.8;25204;nm0482537;René Laloux
Love and Death;1975;1970s;USA;Comedy;85;tt0073312;8.25;7.7;36026;nm0000095;Woody Allen
Jeremiah Johnson;1972;1970s;USA;Western;108;tt0068762;9;7.6;27848;nm0001628;Sydney Pollack
Deliverance;1972;1970s;USA;Thriller;109;tt0068473;8.5;7.7;96483;nm0000958;John Boorman
État de siège;1972;1970s;France;Historical;120;tt0070959;8.5;7.8;4376;nm0002020;Costa-Gavras
Aguirre, der Zorn Gottes;1972;1970s;Germany;Historical;95;tt0068182;8.75;7.9;50800;nm0001348;Werner Herzog
The Godfather;1972;1970s;USA;Drama;175;tt0068646;9.5;9.2;1567269;nm0000338;Francis Ford Coppola
Duel;1971;1970s;USA;Horror;90;tt0067023;8;7.6;61127;nm0000229;Steven Spielberg
10 Rillington Place;1971;1970s;UK;Horror;111;tt0066730;7.5;7.6;7295;nm0281507;Richard Fleischer
Straw Dogs;1971;1970s;USA;Thriller;113;tt0067800;7.75;7.5;55163;nm0001603;Sam Peckinpah
Willy Wonka & the Chocolate Factory;1971;1970s;USA;Musical;100;tt0067992;7.25;7.8;179204;nm0835799;Mel Stuart
Get Carter;1971;1970s;UK;Crime;112;tt0067128;7.75;7.4;28093;nm0388198;Mike Hodges
The French Connection;1971;1970s;USA;Crime;104;tt0067116;8.5;7.7;107037;nm0001243;William Friedkin
The Andromeda Strain;1971;1970s;USA;SciFi;131;tt0066769;8.75;7.2;32912;nm0936404;Robert Wise
A Clockwork Orange;1971;1970s;UK;Dystopia;136;tt0066921;9.5;8.3;738359;nm0000040;Stanley Kubrick
Colossus: The Forbin Project;1970;1970s;USA;SciFi;100;tt0064177;9;7.1;7959;nm0765121;Joseph Sargent
A Man Called Horse;1970;1970s;USA;Western;114;tt0066049;8.5;6.9;7937;nm0799033;Elliot Silverstein
L'aveu;1970;1970s;France;Historical;139;tt0065439;8.5;7.9;3612;nm0002020;Costa-Gavras
Butch Cassidy and the Sundance Kid;1969;1960s;USA;Western;110;tt0064115;7.75;8;198893;nm0001351;George Roy Hill
Midnight Cowboy;1969;1960s;USA;Drama;113;tt0064665;8;7.8;98569;nm0772259;John Schlesinger
Easy Rider;1969;1960s;USA;Drama;95;tt0064276;8;7.3;97597;nm0000454;Dennis Hopper
The Wild Bunch;1969;1960s;USA;Western;135;tt0065214;8;7.9;75994;nm0001603;Sam Peckinpah
They Shoot Horses, Don't They?;1969;1960s;USA;Drama;129;tt0065088;8.25;7.9;15829;nm0001628;Sydney Pollack
Z;1969;1960s;France;Drama;127;tt0065234;8.5;8.3;23194;nm0002020;Costa-Gavras
Take the Money and Run;1969;1960s;USA;Comedy;85;tt0065063;7.25;7.3;27670;nm0000095;Woody Allen
THX 1138;1971;1970s;USA;Dystopia;86;tt0066434;7;6.7;47035;nm0000184;George Lucas
2001, A Space Odissey;1968;1960s;USA;SciFi;149;tt0062622;9.75;8.3;586889;nm0000040;Stanley Kubrick
Bullit;1968;1960s;USA;Crime;114;tt0062765;7.75;7.4;59439;nm0946811;Peter Yates
Once Upon a Time in the West;1968;1960s;Italy;Western;165;tt0064116;9.5;8.5;294667;nm0001466;Sergio Leone
Rosemary's baby;1968;1960s;USA;Horror;137;tt0063522;8.5;8;187264;nm0000591;Roman Polanski
Planet of the Apes;1968;1960s;USA;Dystopia;112;tt0063442;7.5;8;162714;nm0769874;Franklin J. Schaffner
Night of the Living Dead;1968;1960s;USA;Horror;96;tt0063350;7.5;7.9;113085;nm0001681;George A. Romero
The Lion in the Winter;1968;1960s;UK;Historical;134;tt0063227;8;7.9;28408;nm0367431;Anthony Harvey
Faces;1968;1960s;USA;Drama;130;tt0062952;7.5;7.7;9213;nm0001023;John Cassavetes
Targets;1968;1960s;USA;Thriller;90;tt0063671;7.5;7.4;8228;nm0000953;Peter Bogdanovich
The Shoes of the Fisherman;1968;1960s;USA;Drama;162;tt0063599;7;7.1;3288;nm0027183;Michael Anderson
Boogie Nights;1997;1990s;USA;Drama;155;tt0118749;8;7.9;233451;nm0000759;Paul Thomas Anderson
The Crying Game;1992;1990s;UK;Thriller;112;tt0104036;7.25;7.2;50150;nm0001403;Neil Jordan
Absence of Malice;1981;1980s;USA;Drama;116;tt0081974;7.5;6.9;11643;nm0001628;Sydney Pollack
The Dresser;1983;1980s;UK;Drama;118;tt0085461;8.25;7.6;4697;nm0946811;Peter Yates
Bonnie and Cyde;1967;1960s;USA;Thriller;111;tt0061418;8;7.8;100192;nm0671957;Arthur Penn
Cool Hand Luke;1967;1960s;USA;Drama;127;tt0061512;8.25;8.1;158283;nm0742341;Stuart Rosenberg
Dance of the Vampires;1967;1960s;USA;Comedy;108;tt0061655;7;7.2;28891;nm0000591;Roman Polanski
Le samourai;1967;1960s;France;Crime;105;tt0062229;7.75;8.1;43862;nm0578483;Jean-Pierre Melville
The Incident;1967;1960s;USA;Thriller;107;tt0061814;7.75;7.7;3092;nm0670282;Larry Peerce
La vingt-cinquiéme heure;1967;1960s;France;War;130;tt0062445;8.5;7.5;1672;nm0894577;Henri Verneuil
The Long Good Friday;1980;1980s;UK;Thriller;114;tt0081070;7.75;7.6;18588;nm0533334;John Mackenzie
Babette's Feast;1987;1980s;Denmark;Drama;103;tt0092603;8.25;7.8;17665;nm0002196;Gabriel Axel
Mesrine;2008;2000s;France;Crime;113;tt1259014;8;7.5;31639;nm0724938;Jean-François Richet
Ponyo;2008;2000s;Japan;Fantasy;101;tt0876563;7.75;7.7;126023;nm0594503;Hayao Miyazaki
Un Prophète;2009;2000s;France;Crime;155;tt1235166;9;7.9;92069;nm0002191;Jacques Audiard
Abril Despedaçado;2001;2000s;Brazil;Drama;105;tt0291003;7.5;7.6;6698;nm0758574;Walter Salles
Memories of Murder;2003;2000s;South Korea;Thriller;131;tt0353969;7.5;8.1;128780;nm0094435;Bong Joon Ho
The Chaser;2008;2000s;South Korea;Thriller;125;tt1190539;8;7.8;56403;nm2947553;Hong-jin Na
A Man for All Seasons;1966;1960s;UK;Historical;120;tt0060665;8.75;7.7;30559;nm0003593;Fred Zinnemann
The Good, the Bad and the Ugly;1966;1960s;Italy;Western;161;tt0060196;9.5;8.8;700845;nm0001466;Sergio Leone
Spirited Away;2001;2000s;Japan;Fantasy;125;tt0245429;9.25;8.6;628366;nm0594503;Hayao Miyazaki
My Friend Totoro;1988;1980s;Japan;Fantasy;86;tt0096283;8.5;8.2;279279;nm0594503;Hayao Miyazaki
Howl's Moving Castle;2004;2000s;Japan;Fantasy;119;tt0347149;8;8.2;320155;nm0594503;Hayao Miyazaki
Ghost in the Shell, Innocence;2004;2000s;Japan;SciFi;100;tt0347246;8;7.5;35658;nm0651900;Mamoru Oshii
The Hidden Blade;2004;2000s;Japan;Samurai;132;tt0442286;8.25;7.7;6227;nm0945282;Yôji Yamada
Dawn of the Dead;2004;2000s;USA;Horror;101;tt0363547;7.5;7.3;235101;nm0811583;Zack Snyder
Inside Out;2015;2010s;USA;Drama;95;tt2096673;7.75;8.1;593850;nm0230032;Pete Docter
Up;2009;2000s;USA;Drama;96;tt1049413;8.5;8.2;912975;nm0230032;Pete Docter
