Title;Year;Decade;Country;Genre;runtimeMinutes;IMDB;Score;averageRating;numVotes;directors;primaryName
Logan;2017;2010s;USA;Action;137;tt3315342;8.25;8.1;625083;nm0003506;James Mangold
Wind River;2017;2010s;USA;Thriller;107;tt5362988;8.5;7.7;194552;nm0792263;Taylor Sheridan
Blade Runner 2049;2017;2010s;USA;SciFi;164;tt1856101;9.5;8;442567;nm0898288;Denis Villeneuve
The Wailing;2016;2010s;South Korea;Horror;156;tt5215952;7;7.4;46446;nm2947553;Hong-jin Na
Elle;2016;2010s;France;Thriller;130;tt3716530;7.75;7.1;64369;nm0000682;Paul Verhoeven
Raw;2016;2010s;France;Horror;99;tt4954522;7;7;68491;nm4469445;Julia Ducournau
A Dark Song;2016;2010s;Ireland;Horror;100;tt4805316;7.25;6.2;16124;nm2201016;Liam Gavin
Hush;2016;2010s;USA;Horror;82;tt5022702;7.75;6.6;115922;nm1093039;Mike Flanagan
Hacksaw Ridge;2016;2010s;USA;War;139;tt2119532;7.25;8.1;454346;nm0000154;Mel Gibson
Split;2016;2010s;USA;Horror;117;tt4972582;7.5;7.3;406843;nm0796117;M. Night Shyamalan
Don't Breathe;2016;2010s;USA;Horror;88;tt4160708;8;7.1;211623;nm1793079;Fede Alvarez
Captain America: Civil War;2016;2010s;USA;Action;147;tt3498820;7.25;7.8;718486;nm0751577;Anthony Russo
Captain Fantastic;2016;2010s;USA;Comedy;118;tt3553976;8;7.9;181219;nm0743671;Matt Ross
Anthropoid;2016;2010s;Czech Republic;War;120;tt4190530;7.25;7.2;44898;nm1193346;Sean Ellis
Geumul;2016;2010s;South Korea;Politics;114;tt5996202;7.25;7.3;2732;nm1104118;Ki-duk Kim
The Salesman;2016;2010s;Iran;Drama;124;tt5186714;7.75;7.8;48935;nm1410815;Asghar Farhadi
Silence;2016;2010s;USA;Historical;161;tt0490215;7.5;7.2;96804;nm0000217;Martin Scorsese
Rogue One;2016;2010s;USA;Fantasy;133;tt3748528;7.75;7.8;537059;nm2284484;Gareth Edwards
The Autopsy of Jane Doe;2016;2010s;USA;Horror;86;tt3289956;7.5;6.8;92696;nm0004217;André Øvredal
Hell or High Water;2016;2010s;USA;Drama;102;tt2582782;7.75;7.6;197333;nm0533284;David Mackenzie
Train to Busan;2016;2010s;South Korea;Horror;118;tt5700672;8.25;7.6;148119;nm3613566;Sang-ho Yeon
Manchester by the Sea;2016;2010s;USA;Drama;137;tt4034228;7.5;7.8;249645;nm0518836;Kenneth Lonergan
Arrival;2016;2010s;USA;SciFi;116;tt2543164;9.25;7.9;573379;nm0898288;Denis Villeneuve
The Handmaiden;2016;2010s;South Korea;Drama;145;tt4016934;9.25;8.1;103548;nm0661791;Chan-wook Park
Spotlight;2015;2010s;USA;Politics;129;tt1895587;7;8.1;405069;nm0565336;Tom McCarthy
The Visit;2015;2010s;USA;Horror;94;tt3567288;7;6.2;115630;nm0796117;M. Night Shyamalan
The Walk;2015;2010s;USA;Historical;123;tt3488710;7.75;7.3;121974;nm0000709;Robert Zemeckis
Macbeth;2015;2010s;USA;Historical;113;tt2884018;7;6.6;51864;nm0997291;Justin Kurzel
El Abrazo de la Serpiente;2015;2010s;Colombia;Historical;125;tt4285496;7;7.9;20004;nm1458734;Ciro Guerra
Sicario;2015;2010s;USA;Drama;121;tt3397884;7.5;7.6;361661;nm0898288;Denis Villeneuve
Green Room;2015;2010s;USA;Horror;95;tt4062536;7.5;7;103291;nm1099918;Jeremy Saulnier
Land of Mine;2015;2010s;USA;War;100;tt3841424;7;7.8;33634;nm1324710;Martin Zandvliet
The Revenant;2015;2010s;USA;Drama;156;tt1663202;8;8;682469;nm0327944;Alejandro G. Iñárritu
Bone Tomahawk;2015;2010s;USA;Horror;132;tt2494362;8;7.1;81945;nm0951975;S. Craig Zahler
The Hateful Eight;2015;2010s;USA;Western;168;tt3460252;8;7.8;497120;nm0000233;Quentin Tarantino
The Witch;2015;2010s;USA;Horror;92;tt4263482;9;6.9;187844;nm3211470;Robert Eggers
Creed;2015;2010s;USA;Drama;133;tt3076658;7.5;7.6;241143;nm3363032;Ryan Coogler
Son of Saul;2015;2010s;Hungary;War;107;tt3808342;7.5;7.5;43615;nm1841577;László Nemes
Room;2015;2010s;USA;Thriller;118;tt3170832;8.25;8.1;355464;nm1049433;Lenny Abrahamson
Mad Max: Fury Road;2015;2010s;USA;Dystopia;120;tt1392190;9.5;8.1;853395;nm0004306;George Miller
Gone Girl;2014;2010s;USA;Thriller;149;tt2267998;7.5;8.1;830198;nm0000399;David Fincher
Boyhood;2014;2010s;USA;Drama;165;tt1065073;7.5;7.9;330174;nm0000500;Richard Linklater
Interstellar;2014;2010s;USA;SciFi;169;tt0816692;8;8.6;1441342;nm0634240;Christopher Nolan
Leviathan;2014;2010s;Russia;Drama;140;tt2802154;7;7.6;47848;nm1168657;Andrey Zvyagintsev
Mr Turner;2014;2010s;UK;Historical;150;tt2473794;7;6.8;23911;nm0005139;Mike Leigh
The Raid 2. Berandal;2014;2010s;Indonesia;Action;150;tt2265171;8;8;111781;nm2153088;Gareth Evans
Rosewater;2014;2010s;USA;Politics;103;tt2752688;7.5;6.6;10186;nm0829537;Jon Stewart
Nightcrawler;2014;2010s;USA;Thriller;117;tt2872718;7.5;7.9;446563;nm0319659;Dan Gilroy
Guardians of the Galaxy;2014;2010s;USA;Action;121;tt2015381;8.25;8;1021023;nm0348181;James Gunn
Calvary;2014;2010s;Ireland;Politics;102;tt2234003;8.25;7.4;54937;nm0567620;John Michael McDonagh
The Grand Budapest Hotel;2014;2010s;Germany;Comedy;99;tt2278388;8.25;8.1;685462;nm0027572;Wes Anderson
Dawn of the Planet of the Apes;2014;2010s;USA;SciFi;130;tt2103281;8;7.6;413101;nm0716257;Matt Reeves
John Wick;2014;2010s;USA;Action;101;tt2911666;8.5;7.4;518103;nm0821432;Chad Stahelski
The Babadook;2014;2010s;Australia;Horror;94;tt2321549;8.5;6.8;189703;nm0448768;Jennifer Kent
Predestination;2014;2010s;Australia;SciFi;97;tt2397535;7.5;7.5;258484;nm1294961;Michael Spierig
Song of the Sea;2014;2010s;Ireland;Fantasy;93;tt1865505;8;8.1;53524;nm1119079;Tomm Moore
Ex Machina;2014;2010s;USA;SciFi;108;tt0470752;8.5;7.7;461137;nm0307497;Alex Garland
It Follows;2014;2010s;USA;Horror;100;tt3235888;8.75;6.8;202464;nm1379002;David Robert Mitchell
Gravity;2013;2010s;USA;Action;91;tt1454468;8;7.7;753932;nm0190859;Alfonso Cuarón
Inside Llewyn Davis;2013;2010s;USA;Musical;104;tt2042568;7.5;7.5;140774;nm0001054.nm0001053;Cohen Brothers
12 Years a Slave;2013;2010s;USA;Drama;134;tt2024544;8;8.1;622826;nm2588606;Steve McQueen
Her;2013;2010s;USA;SciFi;126;tt1798709;9;8;521860;nm0005069;Spike Jonze
The Conjuring;2013;2010s;USA;Horror;112;tt1457767;7.5;7.5;429175;nm1490123;James Wan
Pacific Rim;2013;2010s;USA;Action;131;tt1663662;7.5;6.9;459112;nm0868219;Guillermo del Toro
Before Midnight;2013;2010s;USA;Drama;109;tt2209418;7.25;7.9;144721;nm0000500;Richard Linklater
