Title;Year;Country;Genre;IMDB;Score;directors;primaryName
Wake in Fright;1971;Australia;Thriller;tt0067541;7.75;nm0467646;Ted Kotcheff
The Silent Partner;1978;Canada;Crime;tt0078269;7.5;nm0241174;Daryl Duke
The Enigma of Kaspar Hauser;1974;Germany;Drama;tt0071691;7.5;nm0001348;Werner Herzog
Una Giornata Particolare;1977;Italy;Drama;tt0076085;9;nm0778633;Ettore Scola
C'eravamo Tanto Amati;1974;Italy;Drama;tt0075793;8.75;nm0778633;Ettore Scola
Alice in the Cities;1974;Germany;Drama;tt0069687;7;nm0000694;Wim Wenders
Uomini Contro;1970;Italy;War;tt0066511;7.75;nm0742940;Francesco Rosi
Strategia del Ragno;1970;Italy;Thriller;tt0066413;7;nm0000934;Bernardo Bertolucci
Il Giardino dei Finzi Contini;1970;Italy;Historical;tt0065777;7.5;nm0001120;Vittorio De Sica
All That Jazz;1979;USA;Musical;tt0078754;8;nm0002080;Bob Fosse
The Chant of Jimmie Blacksmith;1978;Australia;Historical;tt0077318;7.75;nm0770961;Fred Schepisi
Fox and his Friends;1975;Germany;Drama;tt0072976;7.75;nm0001202;Rainer Werner Fassbinder
Profondo Rosso;1975;Italy;Thriller;tt0073582;7.75;nm0000783;Dario Argento
L'histoire de Adèle H.;1975;France;Drama;tt0073114;7.5;nm0000076;François Truffaut
Coming Home;1978;USA;Drama;tt0077362;7.75;nm0000797;Hal Ashby
The King of Comedy;1982;USA;Crime;tt0085794;8.5;nm0000217;Martin Scorsese
Big Jake;1971;USA;Western;tt0066831;7;nm0792450;George Sherman
The Wishing Tree;1976;Georgia;Drama;tt0075963;8;nm0002156;Tengiz Abuladze
L'argent de Poche;1976;France;Drama;tt0074152;7.25;nm0000076;François Truffaut
L'enfant Sauvage;1970;France;Drama;tt0064285;7.5;nm0000076;François Truffaut
Ouija: Origin of Evil;2016;USA;Horror;tt4361050;7.5;nm1093039;Mike Flanagan
Walkabout;1971;Australia;Drama;tt0067959;7.25;nm0001676;Nicolas Roeg
The American Friend;1977;Germany;Crime;tt0075675;7;nm0000694;Wim Wenders
L'Innocente;1976;Italy;Drama;tt0074686;7.75;nm0899581;Luchino Visconti
Alice Doesn't Live Here Anymore;1974;USA;Drama;tt0071115;7.75;nm0000217;Martin Scorsese
Scenes from a Marriage;1974;Sweden;Drama;tt6725014;9.25;nm0000005;Ingmar Bergman
Black Christmas;1974;USA;Horror;tt0071222;7.25;nm0163706;Bob Clark
Man of Marble;1977;Poland;Historical;tt0075902;7.75;nm0906667;Andrzej Wajda
Moscow does not Believe in Tears;1980;Russia;Drama;tt0079579;8;nm0579828;Vladimir Menshov
Soldier of Orange;1977;Netherlands;War;tt0076734;7.75;nm0000682;Paul Verhoeven
The Tree of the Wooden Clogs;1978;Italy;Drama;tt0077138;8.5;nm0647438;Ermanno Olmi
Bad Times at the El Royale;2018;USA;Thriller;tt6628394;8;nm1206844;Drew Goddard
Dark Waters;2002;Japan;Horror;tt0308379;7.25;nm0620378;Hideo Nakata
Hope;2013;South Korea;Drama;tt3153634;9.25;nm1045937;Joon-ik Lee
Joyeux Noël;2005;France;Historical;tt0424205;7.75;nm0137228;Christian Carion
Thelma;2017;Norway;Horror;tt6304046;8;nm1258686;Joachim Trier
Head-On;2004;Turkey;Drama;tt0347048;7.75;nm0015359;Fatih Akin
Mysterious Skin;2004;USA;Drama;tt0370986;8;nm0000777;Gregg Araki
Trouble Water;2008;Norway;Drama;tt0948544;8.25;nm0691547;Erik Poppe
About Elly;2009;Iran;Drama;tt1360860;8.75;nm1410815;Asghar Farhadi
Eu Hoje Quero Voltar Sozinho;2014;Brazil;Drama;tt1702014;7.25;nm2406154;Daniel Ribeiro
Adam's Apples;2005;Denmark;Comedy;tt0418455;7.75;nm0421314;Anders Thomas Jensen
Le Passé;2013;France;Drama;tt2404461;8.5;nm1410815;Asghar Farhadi
Ernest et Celestine;2012;France;Comedy;tt1816518;7.5;nm0041334;Stéphane Aubier
La Sconosciuta;2006;Italy;Thriller;tt0494271;7.25;nm0868153;Giuseppe Tornatore
El Hijo de la Novia;2001;Argentina;Comedy;tt0292542;7.75;nm0002728;Juan José Campanella
Miracle at Cell n.7;2013;South Korea;Drama;tt2659414;7.75;nm1085908;Hwan-kyung Lee
Castaway on the Moon;2009;South Korea;Drama;tt1499666;9;nm1409622;Hae-jun Lee
El Cuerpo;2012;Spain;Thriller;tt1937149;7.5;nm1079062;Oriol Paulo
Lavoura Arcaica;2001;Brazil;Drama;tt0241663;7.75;nm0142461;Luiz Fernando Carvalho
Masquerade;2012;South Korea;Drama;tt2290840;7.75;nm2039220;Chang-min Choo
My Way;2011;South Korea;War;tt1606384;7.25;nm0437625;Je-kyu Kang
Searching;2018;USA;Thriller;tt7668870;7.5;nm3792134;Aneesh Chaganty
Victoria;2015;Germany;Crime;tt4226388;7.75;nm0771923;Sebastian Schipper
Cell 211;2009;Spain;Thriller;tt1242422;7.75;nm0600409;Daniel Monzón
Billy Elliot;2000;UK;Drama;tt0249462;8.25;nm0197636;Stephen Daldry
Poetry;2010;South Korea;Drama;tt1287878;8;nm0496969;Chang-dong Lee
Pixote;1980;Brazil;Drama;tt0082912;8.25;nm0002199;Hector Babenco
Eat Drink Man Woman;1994;Taiwan;Drama;tt0111797;8;nm0000487;Ang Lee
The Secret of Kells;2009;Ireland;Fantasy;tt0485601;7.25;nm1119079;Tomm Moore
Tokyo Godfathers;2003;Japan;Comedy;tt0388473;8;nm0464804;Satoshi Kon
Carandiru;2003;Brazil;Historical;tt0293007;8.5;nm0002199;Hector Babenco
Beasts of no Nation;2015;USA;War;tt1365050;8.75;nm1560977;Cary Joji Fukunaga
Office Romance;1977;Russia;Comedy;tt0076727;8.25;nm0752922;Eldar Ryazanov
The Death of Mr. Lazarescu;2005;Romania;Drama;tt0456149;7.5;nm1090998;Cristi Puiu
American Graffiti;1973;USA;Comedy;tt0069704;7.5;nm0000184;George Lucas
I want to Eat your Pancreas;2018;Japan;Drama;tt7236034;8;nm9026707;Shin'ichirô Ushijima
Sleepers;1996;USA;Crime;tt0117665;8;nm0001469;Barry Levinson
Lord of War;2005;USA;Crime;tt0399295;7.5;nm0629272;Andrew Niccol
American Hustle;2013;USA;Crime;tt1800241;7.75;nm0751102;David O. Russell
Moneyball;2011;USA;Drama;tt1210166;8;nm0587955;Bennett Miller
Breaking Away;1979;USA;Comedy;tt0078902;7;nm0946811;Peter Yates
What's Up, Doc?;1972;USA;Comedy;tt0069495;8;nm0000953;Peter Bogdanovich
The Imitation Game;2014;UK;Historical;tt2084970;7.75;nm0878763;Morten Tyldum
Blow;2001;USA;Crime;tt0221027;7.25;nm0001130;Ted Demme
The World's End;2013;UK;Comedy;tt1213663;7;nm0942367;Edgar Wright
A Time to Kill;1996;USA;Drama;tt0117913;7;nm0001708;Joel Schumacher
Nocturnal Animals;2016;USA;Thriller;tt4550098;7.75;nm1053530;Tom Ford
The Fault in our Stars;2014;USA;Drama;tt2582846;7.5;nm1837748;Josh Boone
The Reader;2008;Germany;Drama;tt0976051;8;nm0197636;Stephen Daldry
Bicho de Sete Cabeças;2000;Brazil;Drama;tt0263124;7.25;nm1738698;Laís Bodanzky
A Royal Affair;2012;Denmark;Historical;tt1276419;8;nm1064048;Nikolaj Arcel
Office Space;1999;USA;Comedy;tt0151804;7.75;nm0431918;Mike Judge
Shooting Dogs;2005;UK;Historical;tt0420901;7.5;nm0001994;Michael Caton-Jones
Boy A;2007;UK;Drama;tt1078188;8;nm1259871;John Crowley
Solace;2015;USA;Thriller;tt1291570;7;nm4139472;Afonso Poyart
Experimenter;2015;USA;Historical;tt3726704;7.5;nm0021899;Michael Almereyda
Creep;2014;USA;Horror;tt2428170;7.25;nm2674307;Patrick Brice
Sword of the Stranger;2007;Japan;Samurai;tt1121794;7.5;nm1622836;Masahiro Andô
Klass;2007;Estonia;Drama;tt0988108;8;nm0704664;Ilmar Raag
Short Term 12;2013;USA;Drama;tt2370248;8.75;nm2308774;Destin Daniel Cretton
Nebraska;2013;USA;Comedy;tt1821549;8;nm0668247;Alexander Payne
Wheels;2014;USA;Drama;tt2170667;9;nm2871077;Tim Gagliardo
Just Mercy;2019;USA;Historical;tt4916630;7.75;nm2308774;Destin Daniel Cretton
Pride;2014;UK;Politics;tt3169706;8.5;nm0911334;Matthew Warchus
Fences;2016;USA;Drama;tt2671706;8;nm0000243;Denzel Washington
The Great Debaters;2007;USA;Politics;tt0427309;7.5;nm0000243;Denzel Washington
Selma;2014;USA;Historical;tt1020072;8.25;nm1148550;Ava DuVernay
Voces Inocentes;2004;Mexico;War;tt0387914;7.25;nm0001502;Luis Mandoki
Of Mice and Men;1992;USA;Drama;tt0105046;7;nm0000641;Gary Sinise
Klaus;2019;Spain;Comedy;tt4729430;8.25;nm0655053;Sergio Pablos
The Bird with the Crystal Plumage;1970;Italy;Thriller;tt0065143;7;nm0000783;Dario Argento
Straight Time;1978;USA;Crime;tt0078326;7.5;nm0343260;Ulu Grosbard
Little Big Man;1970;USA;Western;tt0065988;8.25;nm0671957;Arthur Penn
Lenny;1974;USA;Politics;tt0071746;8.75;nm0002080;Bob Fosse
Tenchi, Samurai Astronomer;2012;Japan;Historical;tt1834303;7.75;nm0847690;Yôjirô Takita
Life and a Day;2016;Iran;Drama;tt5460658;8.25;nm7920254;Saeed Roustayi
Yi Yi;2000;Taiwan;Drama;tt0244316;8.75;nm0945981;Edward Yang
Le Trou;1960;France;Crime;tt0054407;8.75;nm0065442;Jacques Becker
La Maschera del Demonio;1960;Italy;Horror;tt0054067;7.5;nm0000878;Mario Bava
Classe tous Risques;1960;France;Crime;tt0052698;7.75;nm0767110;Claude Sautet
House of Usher;1960;USA;Horror;tt0053925;7;nm0000339;Roger Corman
Hanyo, The Handmaiden;1960;South Korea;Horror;tt0150980;8.25;nm0453579;Kim Ki-young
The Naked Island;1960;Japan;Drama;tt0056049;7.5;nm0793881;Kaneto Shindô
Pollyanna;1960;USA;Comedy;tt0054195;7.25;nm0842582;David Swift
Les Yeux sans Visage;1960;France;Horror;tt0053459;8.25;nm0290802;Georges Franju
Plein Soleil;1960;France;Thriller;tt0054189;8.25;nm0167496;René Clément
Tirez sur le Pianiste;1960;France;Crime;tt0054389;7.5;nm0000076;François Truffaut
Elmer Gantry;1960;USA;Drama;tt0053793;9;nm0112218;Richard Brooks
The Virgin Spring;1960;Sweden;Drama;tt0053976;9;nm0000005;Ingmar Bergman
Late Autumn;1960;Japan;Drama;tt0053579;7.25;nm0654868;Yasujirô Ozu
Unset Letter;1960;Russia;Drama;tt0053106;7.75;nm0435563;Mikhail Kalatozov
The Bad Sleep Well;1960;Japan;Thriller;tt0054460;8.5;nm0000041;Akira Kurosawa
The 1000 eyes of Dr Mabuse;1960;Germany;Thriller;tt0054371;7;nm0000485;Fritz Lang
L'avventura;1960;Italy;Drama;tt0053619;7.5;nm0000774;Michelangelo Antonioni
Macario;1960;Mexico;Fantasy;tt0054042;8.25;nm0310449;Roberto Gavaldón
Rocco e i suoi Fratelli;1960;Italy;Drama;tt0054248;9.5;nm0899581;Luchino Visconti
Sergeant Rutledge;1960;USA;Western;tt0054292;8;nm0000406;John Ford
Tunes of Glory;1960;UK;Drama;tt0054412;7.5;nm0623768;Ronald Neame
When a Woman Ascends the Stairs;1960;Japan;Drama;tt0054144;8.25;nm0621540;Mikio Naruse
La Ciociara, Two Women;1960;Italy;Drama;tt0054749;8.75;nm0001120;Vittorio De Sica
Lá Verité;1960;France;Crime;tt0054452;8.5;nm0167241;Henri-Georges Clouzot
La Dolce Vita;1960;Italy;Drama;tt0053779;7.5;nm0000019;Federico Fellini
Kapò;1960;Italy;War;tt0052961;8;nm0690597;Gillo Pontecorvo
The Young One;1960;Mexico;Drama;tt0053967;7.75;nm0000320;Luis Buñuel
Devi, The Goddess;1960;India;Drama;tt0053765;8;nm0006249;Satyajit Ray
The Devil's Eye;1960;Sweden;Comedy;tt0053772;7.25;nm0000005;Ingmar Bergman
The Ear;1970;Czechoslovakia;Dystopia;tt0066498;7.25;nm0434189;Karel Kachyna
Saturday Night and Sunday Morning;1960;UK;Drama;tt0054269;7.5;nm0718554;Karel Reisz
Adua e le Compagne;1960;Italy;Drama;tt0053570;8;nm0682881;Antonio Pietrangeli
The Cloud-Capped Star;1960;India;Drama;tt0054073;8;nm0315547;Ritwik Ghatak
El Esqueleto de la Señora Morales;1960;Mexico;Comedy;tt0052784;8.25;nm0327950;Rogelio A. González
Judgment at Nuremberg;1961;USA;Historical;tt0055031;9.5;nm0006452;Stanley Kramer
One, Two, Three;1961;USA;Comedy;tt0055256;8;nm0000697;Billy Wilder
Children's Hour;1961;USA;Drama;tt0054743;8.75;nm0943758;William Wyler
El Día de la Bestia;1995;Spain;Comedy;tt0112922;7.5;nm0407067;Álex de la Iglesia
A Short Film about Killing;1988;Poland;Crime;tt0095468;7;nm0001425;Krzysztof Kieslowski
A Short Film about Love;1988;Poland;Drama;tt0095467;7.25;nm0001425;Krzysztof Kieslowski
King of New York;1990;USA;Crime;tt0099939;7;nm0001206;Abel Ferrara
Mother Joan of the Angels;1961;Poland;Drama;tt0055153;7.25;nm0442819;Jerzy Kawalerowicz
Through a Glass Darkly;1961;Sweden;Drama;tt0055499;8.25;nm0000005;Ingmar Bergman
Marmoulak, aka The Lizard;2004;Iran;Comedy;tt0416960;7.75;nm0846092;Kamal Tabrizi
Blood In, Blood Out;1993;USA;Crime;tt0106469;8;nm0000431;Taylor Hackford
Capharnaüm;2018;Lebanon;Drama;tt8267604;9.5;nm1701024;Nadine Labaki
Kolya;1996;Czech Republic;Drama;tt0116790;7.75;nm0841232;Jan Sverák
Bedevilled;2010;South Korea;Horror;tt1646959;7.5;nm1564550;Cheol-soo Jang
Taste of Fear;1961;UK;Thriller;tt0055505;7.5;nm0392519;Seth Holt
Un Taxi pour Tobrouk;1961;France;War;tt0054425;7.5;nm0478800;Denys de La Patellière
The Hustler;1961;USA;Drama;tt0054997;8.75;nm0744035;Robert Rossen
Boat People;1982;Hong Kong;Drama;tt0084807;7.75;nm0401176;Ann Hui
The Misfits;1961;USA;Drama;tt0055184;7;nm0001379;John Huston
Victim;1961;UK;Drama;tt0055597;8;nm0213136;Basil Dearden
La Notte;1961;Italy;Drama;tt0054130;7.25;nm0000774;Michelangelo Antonioni
The Innocents;1961;UK;Horror;tt0055018;8.5;nm0002338;Jack Clayton
A Raisin in the Sun;1961;USA;Drama;tt0055353;8.25;nm0677951;Daniel Petrie
Pigs and Battleships;1961;Japan;Drama;tt0054709;7.75;nm0408076;Shohei Imamura
The Guns of Navarone;1961;UK;War;tt0054953;7.25;nm0496746;J. Lee Thompson
Cash on Demand;1961;UK;Crime;tt0054731;7.75;nm0492974;Quentin Lawrence
The Pit and the Pendulum;1961;USA;Horror;tt0055304;7.5;nm0000339;Roger Corman
Opening Night;1977;USA;Drama;tt0079672;7.75;nm0001023;John Cassavetes
Homicidal;1961;USA;Thriller;tt0054988;7;nm0145336;William Castle
Town Without Pity;1961;USA;Crime;tt0055539;7.25;nm0718106;Gottfried Reinhardt
Voyage to the Bottom of the Sea;1961;USA;SciFi;tt0055608;7.25;nm0000740;Irwin Allen
The Devil at 4 O'Clock;1961;USA;Drama;tt0054805;7.5;nm0503777;Mervyn LeRoy
Underworld U.S.A.;1961;USA;Crime;tt0055571;7.5;nm0002087;Samuel Fuller
The Fool;2014;Russia;Drama;tt3560686;8.5;nm4021775;Yuriy Bykov
Tristana;1970;Spain;Drama;tt0066491;7.5;nm0000320;Luis Buñuel
Silenced;2011;South Korea;Drama;tt2070649;8.5;nm1375363;Hwang Dong-hyuk
Nostalghia;1983;Italy;Drama;tt0086022;7.5;nm0001789;Andrei Tarkovsky
Pocketful of Miracles;1961;USA;Comedy;tt0055312;7;nm0001008;Frank Capra
The Colour of Paradise;1999;Iran;Drama;tt0191043;7.75;nm0006498;Majid Majidi
Before the Rain;1994;Macedonia;War;tt0110882;7.5;nm0541391;Milcho Manchevskis
The Blue Kite;1993;China;Drama;tt0107358;8.25;nm0862514;Zhuangzhuang Tian
Viridiana;1961;Spain;Drama;tt0055601;8.5;nm0000320;Luis Buñuel
Mishima: A Life in Four Chapters;1985;USA;Drama;tt0089603;8.25;nm0001707;Paul Schrader
Léon Morin, Prêtre;1961;France;Drama;tt0055082;9;nm0578483;Jean-Pierre Melville
Il Posto;1961;Italy;Drama;tt0055320;7;nm0647438;Ermanno Olmi
La Ragazza con la Valigia;1961;Italy;Drama;tt0054225;7.5;nm0958801;Valerio Zurlini
The Woman in Black;2012;UK;Horror;tt1596365;7.25;nm1220140;James Watkins
The Match Factory Girl;1990;Finland;Drama;tt0098532;7.75;nm0442454;Aki Kaurismäki 
The Merchant of Four Seasons;1972;Germany;Drama;tt0067227;8;nm0001202;Rainer Werner Fassbinder
The Entertainer;1960;UK;Drama;tt0053796;7.5;nm0724798;Tony Richardson
Intimidation;1960;Japan;Crime;tt2017464;7.75;nm0475542;Koreyoshi Kurahara
A Woman's Tale;1991;Australia;Drama;tt0103282;8;nm0185187;Paul Cox
Lola;1961;France;Drama;tt0055093;8.25;nm0218840;Jacques Demy
Divorzio all'Italiana;1961;Italy;Comedy;tt0055913;8.25;nm0314584;Pietro Germi
A Wife Confesses;1961;Japan;Drama;tt0055551;7.5;nm0557945;Yasuzô Masumura
Whistle Down the Wind;1961;UK;Drama;tt0055618;7;nm0285302;Bryan Forbes
Una Vita Difficile;1961;Italy;Drama;tt0055602;8;nm0728271;Dino Risi
Le Président;1961;France;Politics;tt0055336;7.75;nm0894577;Henri Verneuil
The Angry Silence;1960;UK;Politics;tt0053602;8.25;nm0337885;Guy Green
The End of Summer;1961;Japan;Drama;tt0055052;7.5;nm0654868;Yasujirô Ozu
Il bell'Antonio;1960;Italy;Drama;tt0053643;7.75;nm0006615;Mauro Bolognini
Tutti a Casa;1960;Italy;War;tt0054413;8;nm0173728;Luigi Comencini
The Human Condition I;1959;Japan;War;tt0053114;9;nm0462030;Masaki Kobayashi
The Human Condition II;1959;Japan;War;tt0053115;8.5;nm0462030;Masaki Kobayashi
Pathfinder;1987;Norway;Drama;tt0093668;7.5;nm0310168;Nils Gaup
The Human Condition III;1961;Japan;War;tt0055233;10;nm0462030;Masaki Kobayashi
Oslo, 31. August;2011;Norway;Drama;tt1736633;8.25;nm1258686;Joachim Trier
Moolaadé;2004;Senegal;Politics;tt0416991;7.75;nm0783733;Ousmane Sembene
Nanjing!, Nanjing!;2009;China;War;tt1124052;9.25;nm1283651;Chuan Lu
Monsieur Hire;1989;France;Crime;tt0097904;8.5;nm0496312;Patrice Leconte
Manila in the Claws of Light;1975;Philippines;Drama;tt0073363;7.75;nm0110653;Lino Brocka
The Inheritance;1962;Japan;Crime;tt0056135;8;nm0462030;Masaki Kobayashi
Birdman of Alcatraz;1962;USA;Drama;tt0055798;9;nm0001239;John Frankenheimer
Advise & Consent;1962;USA;Politics;tt0055728;7.75;nm0695937;Otto Preminger
El Ángel Exterminador;1962;Mexico;Horror;tt0056732;8.5;nm0000320;Luis Buñuel
Cléo de 5 à 7;1962;France;Drama;tt0055852;8.5;nm0889513;Agnès Varda
Experiment in Terror;1962;USA;Thriller;tt0055972;7.25;nm0001175;Blake Edwards
Chopper;2000;Australia;Crime;tt0221073;7.75;nm0231596;Andrew Dominik
The Magdalene Sisters;2002;Ireland;Historical;tt0318411;7.75;nm0611932;Peter Mullan
Knife in the Water;1962;Poland;Drama;tt0056291;7;nm0000591;Roman Polanski
Pressure Point;1962;USA;Drama;tt0056370;7.5;nm0180369;Hubert Cornfield
Air Doll;2019;Japan;Fantasy;tt1371630;8.5;nm0466153;Hirokazu Koreeda
Le Fils;2002;Belgium;Drama;tt0291172;8;nm0201094;Jean-Pierre Dardenne
Polytechnique;2009;Canada;Historical;tt1194238;7.75;nm0898288;Denis Villeneuve
Sideways;2004;USA;Comedy;tt0375063;8;nm0668247;Alexander Payne
Il Sorpasso;1962;Italy;Comedy;tt0056512;8.5;nm0728271;Dino Risi
Asmaa;2011;Egypt;Drama;tt1826603;8.75;nm1782844;Amr Salamah
Fruitvale Station;2013;USA;Drama;tt2334649;7.75;nm3363032;Ryan Coogler
Tangerines;2013;Estonia;War;tt2991224;8.5;nm0882203;Zaza Urushadze
Boy;2010;New Zealand;Comedy;tt1560139;7.5;nm0169806;Taika Waititi
Burn, Witch, Burn;1962;UK;Horror;tt0056279;7;nm0370868;Sidney Hayers
Il Divo;2008;Italy;Historical;tt1023490;7;nm0815204;Paolo Sorrentino
Jules et Jim;1962;France;Drama;tt0055032;7.5;nm0000076;François Truffaut
Billy Budd;1962;UK;Drama;tt0055796;8.5;nm0001811;Peter Ustinov
Pagador de Promessas;1962;Brazil;Drama;tt0056322;8.25;nm0239063;Anselmo Duarte
To Kill a Mockingbird;1962;USA;Drama;tt0056592;7.75;nm0612322;Robert Mulligan
Kanchenjungha;1962;India;Drama;tt0056134;7.5;nm0006249;Satyajit Ray
Panic in Year Zero!;1962;USA;Dystopia;tt0056331;7;nm0001537;Ray Milland
Les Dimanches de Ville d'Avray;1962;France;Drama;tt0055910;8.25;nm0099984;Serge Bourguignon
An Autumn Afternoon;1962;Japan;Drama;tt0056444;7.5;nm0654868;Yasujirô Ozu
Electra;1962;Greece;Drama;tt0055950;8.25;nm0128050;Michael Cacoyannis
Vivre sa Vie;1962;France;Drama;tt0056663;7.25;nm0000419;Jean-Luc Godard
The Creation of the Humanoids;1962;USA;SciFi;tt0055872;7;nm0058191;Wesley Barry
The Miracle Worker;1962;USA;Drama;tt0056241;9;nm0671957;Arthur Penn
The Intruder;1962;USA;Politics;tt0055019;7.25;nm0000339;Roger Corman
Mud;2012;USA;Drama;tt1935179;7.75;nm2158772;Jeff Nichols
The Longest Day;1962;USA;War;tt0056197;7.75;nm0002175;Ken Annakin
What Ever Happened to Baby Jane?;1962;USA;Horror;tt0056687;7.5;nm0000736;Robert Aldrich
Requiem for a Heavyweight;1962;USA;Drama;tt0056406;7.75;nm0625680;Ralph Nelson
Days of Wine and Roses;1962;USA;Drama;tt0055895;8.5;nm0001175;Blake Edwards
The Loneliness of the Long Distance Runner;1962;UK;Drama;tt0056194;7.25;nm0724798;Tony Richardson
The Ninth Circle;1960;Yoguslavia;Drama;tt0053764;7.75;nm0830150;France Stiglic
Immortal Love;1961;Japan;Drama;tt0054845;8.75;nm0455839;Keisuke Kinoshita
Chûshingura, 47 Samurai;1962;Japan;Samurai;tt0055850;7.5;nm0408348;Hiroshi Inagaki
Long Day's Journey Into Night;1962;USA;Drama;tt0056196;7;nm0001486;Sidney Lumet
Term of Trial;1962;UK;Drama;tt0056568;7;nm0322706;Peter Glenville
Tales of Terror;1962;USA;Horror;tt0056552;7;nm0000339;Roger Corman
Phaedra;1962;Greece;Drama;tt0056346;7.75;nm0202088;Jules Dassin
The Counterfeit Traitor;1962;USA;Thriller;tt0055871;7.5;nm0780833;George Seaton
Le Quattro Giornate di Napoli;1962;Italy;War;tt0056389;8.75;nm0523439;Nanni Loy
Lonely Are the Brave;1962;USA;Western;tt0056195;7.25;nm0588183;David Miller
Sweet Bird of Youth;1962;USA;Drama;tt0056541;7.5;nm0112218;Richard Brooks
Nymphomaniac: Vol. I;2013;Denmark;Erotic;tt1937390;8.25;nm0001885;Lars von Trier
Mafioso;1962;Italy;Crime;tt0056210;8.75;nm0490444;Alberto Lattuada
Nymphomaniac: Vol. II;2013;Denmark;Erotic;tt2382009;7.75;nm0001885;Lars von Trier
Avril et le Monde Truqué;2015;France;Fantasy;tt3422078;7.5;nm2903634;Christian Desmares
Baran;2001;Iran;Drama;tt0233841;8.25;nm0006498;Majid Majidi
Arrugas;2011;Spain;Drama;tt1407052;8.5;nm1282993;Ignacio Ferreras
Ida;2013;Poland;Drama;tt2718492;7.75;nm0667734;Pawel Pawlikowski
La Región Salvaje;2016;Mexico;Horror;tt5265960;7.5;nm1661334;Amat Escalante
My Dinner with Andre;1981;USA;Drama;tt0082783;8.25;nm0001501;Louis Malle
Strange Circus;2005;Japan;Horror;tt0492784;8;nm0814469;Sion Sono
The Canal;2014;Ireland;Horror;tt2517658;7.25;nm2830839;Ivan Kavanagh 
The Death of Stalin;2017;UK;Comedy;tt4686844;8;nm0406334;Armando Iannucci 
The Song of Sparrows;2008;Iran;Drama;tt0997246;7.5;nm0006498;Majid Majidi
The Insult;2017;Lebanon;Drama;tt7048622;8.75;nm0234780;Ziad Doueiri
The Banishment;2007;Russia;Drama;tt0488905;8.25;nm1168657;Andrey Zvyagintsev
The Grey Zone;2001;USA;War;tt0252480;7.75;nm0625789;Tim Blake Nelson
Guilty of Romance;2011;Japan;Horror;tt1743724;7.5;nm0814469;Sion Sono
A Taxi Driver;2017;South Korea;Historical;tt6878038;7.75;nm1922242;Hun Jang
Wadjda;2012;Saudi Arabia;Drama;tt2258858;7.75;nm2223783;Haifaa Al-Mansour
King of Devil's Island;2010;Norway;Historical;tt1332134;8.25;nm0392319;Marius Holst
Les Innocents;2016;France;War;tt4370784;9;nm0284774;Anne Fontaine
You're Next;2011;USA;Horror;tt1853739;7.5;nm1417392;Adam Wingard
The Girl with the Dragon Tattoo;2011;USA;Thriller;tt1568346;7.75;nm0000399;David Fincher
In Bloom;2013;Georgia;Drama;tt2741806;7;nm2206574;Nana Ekvtimishvili
High and Low;1963;Japan;Crime;tt0057565;8.5;nm0000041;Akira Kurosawa
Jigsaw;1962;UK;Crime;tt0056121;7;nm0346436;Val Guest
Il Gattopardo;1963;Italy;Drama;tt0057091;8.5;nm0899581;Luchino Visconti
The Servant;1963;UK;Drama;tt0057490;8.25;nm0521334;Joseph Losey
The Organizer;1963;Italy;Politics;tt0056945;8.75;nm0598102;Mario Monicelli
13 Assassins;1963;Japan;Samurai;tt0057212;7.75;nm0473791;Eiichi Kudô
Hud;1963;USA;Drama;tt0057163;8;nm0728688;Martin Ritt
Il Boom;1963;Italy;Comedy;tt0056883;8;nm0001120;Vittorio De Sica
Os Verdes Anos;1963;Portugal;Drama;tt0057642;7;nm0733846;Paulo Rocha
Cleopatra;1963;USA;Historical;tt0056937;7;nm0000581;Joseph L. Mankiewicz
The Sadist;1963;USA;Horror;tt0057465;7.25;nm0484824;James Landis
Il Demonio;1963;Italy;Horror;tt0167886;7.75;nm0740021;Brunello Rondi
Dementia 13;1963;USA;Horror;tt0056983;7.25;nm0000338;Francis Ford Coppola
Two Half-Times in Hell;1961;Hungary;War;tt0056160;8.25;nm0299586;Zoltán Fábri
El Verdugo;1963;Spain;Comedy;tt0057643;8.25;nm0305557;Luis García Berlanga
Vidas Secas;1963;Brazil;Drama;tt0057654;7;nm0673051;Nelson Pereira dos Santos 
The Comedy of Terrors;1963;USA;Comedy;tt0056943;7.75;nm0869664;Jacques Tourneur
Youth of the Beast;1963;Japan;Crime;tt0057697;7.75;nm0840671;Seijun Suzuki
Charade;1963;USA;Comedy;tt0056923;7.25;nm0002045;Stanley Donen
Sinister;2012;USA;Horror;tt1922777;7.75;nm0220600;Scott Derrickson
The Silence;1963;Sweden;Drama;tt0057611;7.5;nm0000005;Ingmar Bergman
Twilight of Honor;1963;USA;Drama;tt0057609;7.25;nm0755963;Boris Sagal
America America;1963;USA;Drama;tt0056825;9;nm0001415;Elia Kazan
Black Sabbath;1963;Italy;Horror;tt0057603;7.5;nm0000878;Mario Bava
I Fidanzati;1963;Italy;Drama;tt0055981;7.75;nm0647438;Ermanno Olmi
La Baie des Anges;1963;France;Drama;tt0056846;8;nm0218840;Jacques Demy
Mahanagar, The Big City;1963;India;Drama;tt0057277;8;nm0006249;Satyajit Ray
L'Aîné des Ferchaux;1963;France;Crime;tt0056845;7.25;nm0578483;Jean-Pierre Melville
The Cardinal;1963;USA;Drama;tt0056907;7.5;nm0695937;Otto Preminger
