Title;Year;Country;Genre;IMDB;Score;directors;primaryName
Bullet Train;2022;USA;Comedy;tt12593682;7;nm0500610;David Leitch
The Pale Blue Eye;2022;USA;Crime;tt14138650;7.25;nm0178376;Scott Cooper
Farha;2022;Jordan;Historical;tt11555492;8;nm4627221;Darin J. Sallam
The Fabelmans;2022;USA;Drama;tt14208870;7.25;nm0000229;Steven Spielberg
The Menu;2022;USA;Horror;tt9764362;7.5;nm0617042;Mark Mylod
Argentina, 1985;2022;Argentina;Historical;tt15301048;8.25;nm1377207;Santiago Mitre
Falls;2021;Taiwan;Drama;tt15119668;7.75;nm3010935;Mong-Hong Chung
L'événement;2021;France;Drama;tt13880104;8;nm1604976;Audrey Diwan
After Love;2020;UK;Drama;tt10692788;7.75;nm2746993;Aleem Khan
The Fallout;2021;USA;Drama;tt11847410;7.5;nm1177914;Megan Park
Bones and All;2022;USA;Horror;tt10168670;8.25;nm0345174;Luca Guadagnino
Glass Onion;2022;USA;Comedy;tt11564570;7.25;nm0426059;Rian Johnson
A Quiet Girl;2022;Ireland;Drama;tt15109082;8;nm2128139;Colm Bairéad
Nanny;2022;USA;Horror;tt10931784;7;nm2762302;Nikyatu Jusu
Pinocchio;2022;USA;Fantasy;tt1488589;8.25;nm0868219;Guillermo del Toro
Petite Maman;2021;France;Fantasy;tt13204490;7.5;nm1780037;Céline Sciamma
Avatar: The Way of Water;2022;USA;Action;tt1630029;7.75;nm0000116;James Cameron
Sagasu, Missing;2021;Japan;Crime;tt15482370;7.75;nm4293909;Shinzô Katayama
The Banshees of Inisherin;2022;Ireland;Drama;tt11813216;8.25;nm1732981;Martin McDonagh
Holy Spider;2022;Denmark;Thriller;tt18550140;7.75;nm4389150;Ali Abbasi
Triangle of Sadness;2022;USA;Comedy;tt7322224;8.5;nm1128037;Ruben Östlund
All Quiet on the Western Front;2022;Germany;War;tt1016150;8.25;nm0074163;Edward Berger
Smile;2022;USA;Horror;tt15474916;7.5;nm6475689;Parker Finn
